Prefecture,Population
Aichi,7539185
Akita,980684
Aomori,1262823
Chiba,6268585
Ehime,1351510
Fukui,773731
Fukuoka,5111494
Fukushima,1862705
Gifu,1999406
Gunma,1949440
Hiroshima,2819962
Hokkaido,5285430
Hyogo,5483450
Ibaraki,2882943
Ishikawa,1142965
Iwate,1240522
Kagawa,961900
Kagoshima,1613969
Kanagawa,9179835
Kochi,705880
Kumamoto,1756442
Kyoto,2591779
Mie,1790376
Miyagi,2313215
Miyazaki,1079727
Nagano,2063865
Nagasaki,1339438
Nara,1340070
Niigata,2245057
Oita,1142943
Okayama,1899739
Okinawa,1448101
Osaka,8824566
Saga,819110
Saitama,7322645
Shiga,1412881
Shimane,679626
Shizuoka,3656487
Tochigi,1952926
Tokushima,736475
Tokyo,13843403
Tottori,560517
Toyama,1050246
Wakayama,934051
Yamagata,1089806
Yamaguchi,1368495
Yamanashi,818391
