English name ,micro_code,Type,Chinese name
Changhua County,CHA,County,彰化縣
Chiayi City,CYI,City,嘉義市
Chiayi County,CYQ,County,嘉義縣
Hsinchu City,HSZ,City,新竹市
Hsinchu County,HSQ,County,新竹縣
Hualien County,HUA,County,花蓮縣
Kaohsiung City,KHH,Special municipality,高雄市
Keelung City,KEE,City,基隆市
Kinmen County,KIN,County,金門縣
Lienchiang County,LIE,County,連江縣
Miaoli County,MIA,County,苗栗縣
Nantou County,NAN,County,南投縣
New Taipei City,NWT,Special municipality,新北市
Penghu County,PEN,County,澎湖縣
Pingtung County,PIF,County,屏東縣
Taichung City,TXG,Special municipality,台中市
Tainan City,TNN,Special municipality,台南市
Taipei City,TPE,Special municipality,台北市
Taitung County,TTT,County,台東縣
Taoyuan City,TAO,Special municipality,桃園市
Yilan County,ILA,County,宜蘭縣
Yunlin County,YUN,County,雲林縣
