English name ,Chinese name,Type,Population 2020
New Taipei City,新北市,Special municipality,4023620
Taipei City,台北市,Special municipality,2635286
Taoyuan City,桃園市,Special municipality,2254363
Taichung City,台中市,Special municipality,2816667
Tainan City,台南市,Special municipality,1879115
Kaohsiung City,高雄市,Special municipality,2773984
Yilan County,宜蘭縣,County,453951
Hsinchu County,新竹縣,County,565272
Miaoli County,苗栗縣,County,544762
Changhua County,彰化縣,County,1271015
Nantou County,南投縣,County,493403
Yunlin County,雲林縣,County,680050
Chiayi County,嘉義縣,County,502007
Pingtung County,屏東縣,County,817193
Taitung County,台東縣,County,216308
Hualien County,花蓮縣,County,325706
Penghu County,澎湖縣,County,105117
Keelung City,基隆市,City,371878
Hsinchu City,新竹市,City,448207
Chiayi City,嘉義市,City,270254
Kinmen County,金門縣,County,127723
Lienchiang County,連江縣,County,12716
