Name,Population
Anhui,63660000
Beijing,21540000
Chongqing,31240000
Fujian,39730000
Gansu,26470000
Guangdong,115210000
Guangxi,49600000
Guizhou,36230000
Hainan,9447000
Hebei,75920000
Heilongjiang,37510000
Henan,96400000
Hubei,59270000
Hunan,69180000
Jiangsu,80700000
Jiangxi,46660000
Jilin,26910000
Liaoning,43520000
Inner Mongolia,25400000
Ningxia,6950000
Qinghai,6078000
Shandong,100700000
Shanghai,24280000
Shanxi,37290000
Shaanxi,38762000
Sichuan,83750000
Tianjin,15620000
Xinjiang,25230000
Tibet,3506000
Yunnan,48580000
Zhejiang,58500000
Hong Kong,7556941
Macau,659027
