IdLandkreis,Population
3102,104291
3357,163782
3459,358080
5358,264638
5774,307839
6531,270688
6535,105643
7333,75325
7334,129013
8135,132777
8237,118243
8315,263601
8317,430953
8437,130849
9273,123058
9778,145341
9779,133783
16063,118974
5124,355100
5562,614137
5570,277840
8336,228736
8421,126790
9190,135478
9275,192656
9562,112528
9672,103235
14730,197741
15091,124953
16064,102232
16074,82950
3159,326041
3457,170756
5111,621877
5116,261034
6432,297844
9163,63551
9276,77410
9376,147872
9661,71002
10045,142196
12068,98861
14627,241717
15085,213310
16067,134908
16068,69427
1060,277175
3354,48412
5158,485570
5362,470615
6634,179673
6636,100629
8115,392807
8417,189363
9174,154899
9177,138182
9178,180007
9461,77373
9574,170792
9673,79635
9761,296582
9763,69151
12053,57751
15001,80103
1058,274098
3251,217089
7141,122297
7311,48762
7338,154609
8236,199556
9172,105929
15082,158486
16052,93125
16055,65228
16066,124916
11012,259689
4011,567559
5566,448220
5762,140251
7233,60646
8121,126592
8136,314025
8436,285424
9179,219311
9182,100010
9361,42207
13003,209191
13073,224702
14713,593145
16051,213981
5117,170632
5913,588250
7111,114052
7133,158345
7320,34193
8326,212506
9185,97303
9188,136667
9189,177319
9263,47791
9464,45825
9671,174200
12071,113720
13076,211779
16069,63197
16071,82156
11002,282059
5314,329673
6414,278474
6631,223145
7318,50561
7331,129687
7335,105979
8116,535024
8211,55185
9279,96683
9476,66743
10041,328714
13074,157322
1001,90164
5120,111338
5966,133955
7143,201904
8311,231195
8325,139878
8435,217470
9473,86747
9775,175204
12063,162996
13004,95653
14626,252725
16073,103199
16076,97398
11009,266488
11005,239019
3458,130890
5166,298863
5334,557026
5513,259645
9186,128227
9362,153094
9561,41798
9563,128497
9575,101014
9576,126749
16075,80312
1055,200539
1059,201156
3155,132285
3356,113928
5122,159245
5154,312465
5374,272057
5554,371339
7132,128805
7315,218578
7319,83542
7336,70219
8125,344456
8335,286305
9181,120302
9577,94734
9674,84384
9772,253468
14628,245586
15086,89589
3403,169077
5914,188686
6431,270340
7339,211417
8128,132399
9261,73411
9374,94450
9471,147163
9762,44398
12054,180334
12067,178803
14511,246334
14612,556780
1061,131013
3154,91297
3462,56926
5162,451730
5170,459976
5758,250578
7131,130086
7140,103163
8212,312060
8425,197076
9175,143649
9475,94801
9565,40981
12072,169997
16054,36789
1062,244156
3151,176523
3404,165251
6440,308339
6632,120719
6635,156406
7312,100030
9274,159895
9564,518370
9662,53426
9764,44100
12060,185244
12062,101827
1003,216530
3455,98704
5315,1087863
5970,276944
6433,275726
7232,99058
7340,94831
9180,88424
9183,115872
9262,52803
9377,72046
9463,41072
9676,128743
9773,96562
3353,254431
3452,189694
3461,88583
5113,582760
5512,117565
5711,334195
5962,410222
7316,53264
8127,196761
8415,287034
8426,201282
9663,127934
12061,170791
14522,304099
14625,299758
15081,83173
16072,57717
11008,321123
11010,262967
11006,302177
1057,128686
3254,275817
3359,204512
3405,76089
5382,600764
5754,364938
6611,202137
6633,236764
7231,112483
8225,143633
8235,159201
9173,127917
9363,42743
9371,103049
9771,134655
9780,156008
11007,341772
3158,119622
3252,148549
3360,92389
3456,137162
3460,142814
5114,227417
7134,80951
8117,258145
8119,427248
9572,137262
9678,115445
9776,81981
12064,195751
12069,216566
16070,106249
11003,398036
3153,136292
3358,140673
3402,49913
3451,124859
5316,163729
5958,259777
5978,394891
6411,159878
8215,445101
8226,548355
8327,140766
9472,103664
9679,162302
14521,334948
16062,83416
16065,74212
16077,89393
11001,375238
2000,1847253
6436,238558
6439,187160
7135,61375
9675,91155
10046,87007
16053,111343
11004,334401
3241,1157115
3352,198038
3361,137133
5515,315293
5558,220586
7211,111528
8126,112655
8216,231420
8222,310658
12052,99678
15002,238762
1054,165951
3101,249406
3103,124371
5119,210764
6438,355813
6533,171912
7337,110521
9184,350473
9272,78362
9774,127027
14523,225997
15003,237565
16056,42250
3256,121390
3401,77559
5378,283271
8316,166408
8337,171003
9477,71566
10042,103243
10044,194319
15090,111190
16061,100006
1002,246794
3355,184139
4012,113643
5770,310409
5911,365587
5974,301785
6534,247084
7332,132671
9277,121502
9373,134573
9571,184591
9777,141182
12051,72184
15084,178846
5112,498686
6437,96703
7138,182811
8118,545423
8231,125957
9176,132881
9372,127998
9375,194070
9462,74783
9478,66776
9573,117853
9677,126158
12065,212914
12066,109371
12070,76158
13071,258074
15087,134942
1051,133193
1053,198019
5366,193656
5766,347514
5954,324106
6412,763380
6413,130280
6434,236914
7235,149398
7314,172253
7317,40231
8111,635911
9161,137392
9271,119478
13072,215794
13075,235623
14729,258139
15083,170923
15089,189125
1056,316103
3453,170682
3454,326954
5916,156449
6435,420552
6532,253319
7137,214434
7313,46881
8416,228678
9162,1484226
9171,111516
9278,101120
9474,116203
12073,118947
14524,315002
11011,286522
1004,80196
3157,134801
3255,70458
3257,157820
3351,179011
5370,255555
5915,179916
8221,161485
9187,261330
9479,72655
10043,131408
15088,183815
