id,CO_ID,ENGLISH,GAEILGE,LOGAINM_ID,GUID,CONTAE,COUNTY,PROVINCE,CENTROID_X,CENTROID_Y,AREA,OBJECTID,Shape__Area,Shape__Length
Donegal,50000,DONEGAL,Dún na nGall,100013,2ae19629-1452-13a3-e055-000000000001,Dún na nGall,DONEGAL,Ulster,607296.31,911848.45,4860754356.77,1,4860147602.46713,1673364.46175507
Limerick,120000,LIMERICK,Luimneach,100022,2ae19629-1440-13a3-e055-000000000001,Luimneach,LIMERICK,Munster,548318.75,640943.05,2754925824.54,2,2754890060.30389,379392.367941704
Kildare,80000,KILDARE,Cill Dara,100007,2ae19629-1455-13a3-e055-000000000001,Cill Dara,KILDARE,Leinster,678993.6,712090.4,1694083232.97,3,1694123732.11832,292471.120924935
Waterford,220000,WATERFORD,Port Láirge,100026,2ae19629-144b-13a3-e055-000000000001,Port Láirge,WATERFORD,Munster,630336.8,599955.37,1857037813.92,4,1857026723.20743,426540.084723518
Dublin,260000,DUBLIN,Baile Átha Cliath,100002,2ae19629-144f-13a3-e055-000000000001,Baile Átha Cliath,DUBLIN,Leinster,714929.28,740960.44,925760879.36,5,925854197.362701,346794.519408325
Westmeath,230000,WESTMEATH,An Iarmhí,100016,2ae19629-144c-13a3-e055-000000000001,An Iarmhí,WESTMEATH,Leinster,635445.42,756679.97,1838309833.24,6,1838324302.1579,286894.4007033
Monaghan,170000,MONAGHAN,Muineachán,100025,2ae19629-1445-13a3-e055-000000000001,Muineachán,MONAGHAN,Ulster,669110.41,824170.57,1294164120.67,7,1294141510.85266,293392.531688125
Wicklow,250000,WICKLOW,Cill Mhantáin,100008,2ae19629-144e-13a3-e055-000000000001,Cill Mhantáin,WICKLOW,Leinster,707784.79,690738.1,2025160941.77,8,2025255199.52182,309085.733377852
Cork,40000,CORK,Corcaigh,100010,2ae19629-1451-13a3-e055-000000000001,Corcaigh,CORK,Munster,527532.69,573117.78,7502635495.38,9,7501765615.74223,1745764.42356264
Kerry,70000,KERRY,Ciarraí,100005,2ae19629-1454-13a3-e055-000000000001,Ciarraí,KERRY,Munster,469696.21,600519.77,4812988563.12,10,4812169929.97633,1362520.56154395
Roscommon,190000,ROSCOMMON,Ros Comáin,100027,2ae19629-1447-13a3-e055-000000000001,Ros Comáin,ROSCOMMON,Connacht,576872.92,772072.39,2547136217.24,11,2547102057.71097,423831.960380178
Wexford,240000,WEXFORD,Loch Garman,100019,2ae19629-144d-13a3-e055-000000000001,Loch Garman,WEXFORD,Leinster,696261.93,634655.15,2369837777.56,12,2369962567.17322,409202.536494921
Longford,130000,LONGFORD,An Longfort,100020,2ae19629-1441-13a3-e055-000000000001,An Longfort,LONGFORD,Leinster,619420.92,775835.13,1091077827.65,13,1091158920.81509,211044.3661143
Meath,160000,MEATH,An Mhí,100024,2ae19629-1444-13a3-e055-000000000001,An Mhí,MEATH,Leinster,680723.14,767236.28,2342048769.25,14,2342020613.51859,386770.085919464
Cavan,20000,CAVAN,An Cabhán,100003,2ae19629-1448-13a3-e055-000000000001,An Cabhán,CAVAN,Ulster,638764.82,809776.33,1931224564.03,15,1931187562.94785,368072.185843654
Carlow,10000,CARLOW,Ceatharlach,100004,2ae19629-143d-13a3-e055-000000000001,Ceatharlach,CARLOW,Leinster,680448.23,660624.58,896306186.01,16,896234464.240082,220403.55197253
Mayo,150000,MAYO,Maigh Eo,100023,2ae19629-1443-13a3-e055-000000000001,Maigh Eo,MAYO,Connacht,504948.11,797843.38,5587525208.65,17,5586940838.09061,1559086.368397
Louth,140000,LOUTH,Lú,100021,2ae19629-1442-13a3-e055-000000000001,Lú,LOUTH,Leinster,705050.25,796448.45,826107030.37,18,826206215.78894,246254.263948499
Sligo,200000,SLIGO,Sligeach,100028,2ae19629-1449-13a3-e055-000000000001,Sligeach,SLIGO,Connacht,557897.46,827219.69,1836083206.41,19,1836071780.40952,496424.625131468
Leitrim,110000,LEITRIM,Liatroim,100018,2ae19629-143f-13a3-e055-000000000001,Liatroim,LEITRIM,Connacht,599762.02,821266.52,1588030182.98,20,1587965819.38297,314140.601150379
Kilkenny,90000,KILKENNY,Cill Chainnigh,100006,2ae19629-1456-13a3-e055-000000000001,Cill Chainnigh,KILKENNY,Leinster,647885.56,646646.11,2071100205.46,21,2071126243.32614,281167.656118637
Offaly,180000,OFFALY,Uíbh Fhailí,100031,2ae19629-1446-13a3-e055-000000000001,Uíbh Fhailí,OFFALY,Leinster,631261.72,709672.35,2000024664.09,22,1999998479.41876,383338.280618513
Laois,100000,LAOIS,Laois,100017,2ae19629-143e-13a3-e055-000000000001,Laois,LAOIS,Leinster,644908.26,694308.36,1719127150.11,23,1719162675.74661,271505.217511763
Galway,60000,GALWAY,Gaillimh,100015,2ae19629-1453-13a3-e055-000000000001,Gaillimh,GALWAY,Connacht,524511.96,732839.34,6150926369.81,24,6150063605.64487,1908112.83339399
Tipperary,210000,TIPPERARY,Tiobraid Árann,100029,2ae19629-144a-13a3-e055-000000000001,Tiobraid Árann,TIPPERARY,Munster,605191.54,659297.87,4303395908.87,25,4303464828.33987,507117.652072839
Clare,30000,CLARE,An Clár,100009,2ae19629-1450-13a3-e055-000000000001,An Clár,CLARE,Munster,524790.2,680078.02,3448615219.94,26,3448719474.57587,503248.71120128
