objectid,code,name,welshname,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,96845510.24630864,50305.32505760145
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.544670000000004,52908459.45587462,34964.40631271741
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,248679106.10748956,83939.75251261092
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.556911,207159134.05294353,87075.86082386572
5,E06000005,Darlington, ,428029,515648,-1.56835,54.535339,198812770.76670265,91926.83954473681
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,80285487.96377783,66618.91396408157
7,E06000007,Warrington, ,362744,388456,-2.56167,53.391628,178628103.8774419,71840.67010534489
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.700802,139386372.83770427,55099.15065699956
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,33695601.82262321,30031.40850974906
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.769199,71407321.38338803,41191.83974404207
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.881119,2407736417.91607,342145.5644610216
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,190515165.00619075,79044.19154449763
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,851248285.548167,180169.9263146512
14,E06000014,York, ,460864,452589,-1.07375,53.96582,275546399.143393,84074.3459372984
15,E06000015,Derby, ,435609,335375,-1.47189,52.914639,78270268.21601316,40201.836985869864
16,E06000016,Leicester, ,458946,304594,-1.1304,52.635921,73589165.15518148,40830.23018876482
17,E06000017,Rutland, ,492992,308655,-0.6263,52.667648,392185479.47686094,96395.31875094071
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.954189,75870408.95519969,49574.89014303145
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.081539,2180535922.0720015,285426.7256257861
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.714169,291802973.43834776,93575.19387150288
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.017071,92988650.01736917,51304.033136838225
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.356041,348611816.2105575,107062.69632869864
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.471149,110320041.55610426,58260.236900111435
24,E06000024,North Somerset, ,347613,166719,-2.75439,51.397072,374705235.58232015,113129.32791609797
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,499853753.4582412,113237.40894273072
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.404942,82446416.56132543,54633.37343334649
27,E06000027,Torbay, ,289730,64613,-3.55523,50.470921,65455906.77538541,55423.720364903915
28,E06000030,Swindon, ,418551,186564,-1.73367,51.577629,227720526.64050433,83649.25419699213
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,342190158.1618905,97196.06881860654
