Name,Population
Aa en Hunze,25445
Assen,68599
Borger-Odoorn,25559
Coevorden,35297
De Wolden,24330
Emmen,107048
Hoogeveen,55699
Meppel,33920
Midden-Drenthe,33185
Noordenveld,31253
Tynaarlo,33887
Westerveld,19460
Almere,211893
Dronten,41555
Lelystad,78598
Noordoostpolder,47291
Urk,21031
Zeewolde,22653
Achtkarspelen,27843
Ameland,3716
Dantumadiel,18922
De Fryske Marren,51564
Harlingen,15722
Heerenveen,50493
Leeuwarden,124084
Noardeast-Fryslân,45228
Ooststellingwerf,25469
Opsterland,29733
Schiermonnikoog,947
Smallingerland,56150
Súdwest-Fryslân,89987
Terschelling,4888
Tytsjerksteradiel,32052
Vlieland,1155
Waadhoeke,46090
Weststellingwerf,25914
Aalten,27121
Apeldoorn,163818
Arnhem,161348
Barneveld,59082
Berg en Dal,34992
Berkelland,43747
Beuningen,25890
Bronckhorst,36055
Brummen,20726
Buren,26749
Culemborg,28955
Doesburg,11077
Doetinchem,58001
Druten,18926
Duiven,25126
Ede,117165
Elburg,23161
Epe,33178
Ermelo,27008
Harderwijk,48414
Hattem,12209
Heerde,18589
Heumen,16454
Lingewaard,46601
Lochem,33729
Maasdriel,25030
Montferland,36011
Neder-Betuwe,24339
Nijkerk,43171
Nijmegen,177659
Nunspeet,27851
Oldebroek,23646
Oost Gelre,29627
Oude IJsselstreek,39388
Overbetuwe,47906
Putten,24112
Renkum,31419
Rheden,43761
Rozendaal,1704
Scherpenzeel,9880
Tiel,42159
Voorst,24552
Wageningen,39664
West Betuwe,51128
Westervoort,14971
West Maas en Waal,19324
Wijchen,41110
Winterswijk,28854
Zaltbommel,28881
Zevenaar,43750
Zutphen,47934
Appingedam,11642
Delfzijl,24678
Groningen,232874
Het Hogeland,47801
Loppersum,9537
Midden-Groningen,60797
Oldambt,38209
Pekela,12196
Stadskanaal,31686
Veendam,27384
Westerkwartier,63329
Westerwolde,25733
Beekdaelen,35938
Beek,15865
Beesel,13482
Bergen (L.),13085
Brunssum,27821
Echt-Susteren,31610
Eijsden-Margraten,25768
Gennep,16921
Gulpen-Wittem,14171
Heerlen,87086
Horst aan de Maas,42429
Kerkrade,45749
Landgraaf,37445
Leudal,35879
Maasgouw,23965
