"Code","State","Population"
"AN","Andaman and Nicobar Islands","397000"
"AP","Andhra Pradesh","52221000"
"AR","Arunachal Pradesh","1504000"
"AS","Assam","34293000"
"BR","Bihar","119520000"
"CH","Chandigarh","1179000"
"CT","Chhattisgarh","28724000"
"DN","Dadra and Nagar Haveli and Daman and Diu","959000"
"DL","Delhi","19814000"
"GA","Goa","1540000"
"GJ","Gujarat","67936000"
"HR","Haryana","28672000"
"HP","Himachal Pradesh","7300000"
"TT","India","1332900000"
"JK","Jammu and Kashmir","13203000"
"JH","Jharkhand","37403000"
"KA","Karnataka","65798000"
"KL","Kerala","35125000"
"LA","Ladakh","293000"
"LD","Lakshadweep","68000"
"MP","Madhya Pradesh","82232000"
"MH","Maharashtra","122153000"
"MN","Manipur","3103000"
"ML","Meghalaya","3224000"
"MZ","Mizoram","1192000"
"NL","Nagaland","2150000"
"OR","Odisha","43671000"
"PY","Puducherry","1504000"
"PB","Punjab","29859000"
"RJ","Rajasthan","77264000"
"SK","Sikkim","664000"
"UN","State Unassigned",""
"TN","Tamil Nadu","75695000"
"TG","Telangana","37220000"
"TR","Tripura","3992000"
"UP","Uttar Pradesh","224979000"
"UT","Uttarakhand","11141000"
"WB","West Bengal","96906000"
