"DateReport","geoid","RegionName","Country","pInf","AB","AB4","AB4_10","AB4_15","AB4_20","AB4_25","AB4_50","AB4_100","AB4_500","AB4_1000","AB4_5000","updated"
"2022-12-08","USA840_AL_1001","Autauga, Alabama, USA","United States",0.00178990137643416,4,4,7,10,13,16,30,51,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1003","Baldwin, Alabama, USA","United States",0.00150706689585176,4,4,6,9,11,14,26,45,95,100,100,2022-12-09
"2022-12-08","USA840_AL_1005","Barbour, Alabama, USA","United States",0.000607631856112776,4,4,2,4,5,6,11,22,70,91,100,2022-12-09
"2022-12-08","USA840_AL_1007","Bibb, Alabama, USA","United States",0.000829303767590809,4,4,3,5,6,8,15,28,81,96,100,2022-12-09
"2022-12-08","USA840_AL_1009","Blount, Alabama, USA","United States",0.00122288046405226,4,4,5,7,9,12,22,39,91,99,100,2022-12-09
"2022-12-08","USA840_AL_1011","Bullock, Alabama, USA","United States",0.000424286138571853,4,4,2,3,3,4,8,16,57,82,100,2022-12-09
"2022-12-08","USA840_AL_1013","Butler, Alabama, USA","United States",0.00183639889522242,4,4,7,10,14,17,31,52,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1015","Calhoun, Alabama, USA","United States",0.00143353851377266,4,4,6,8,11,13,25,44,94,100,100,2022-12-09
"2022-12-08","USA840_AL_1017","Chambers, Alabama, USA","United States",0.00204057084432378,4,4,8,12,15,19,34,56,98,100,100,2022-12-09
"2022-12-08","USA840_AL_1019","Cherokee, Alabama, USA","United States",0.00501712366119146,4,4,18,26,33,40,64,87,100,100,100,2022-12-09
"2022-12-08","USA840_AL_1021","Chilton, Alabama, USA","United States",0.000771714105647661,4,4,3,5,6,7,14,27,79,95,100,2022-12-09
"2022-12-08","USA840_AL_1023","Choctaw, Alabama, USA","United States",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-09
"2022-12-08","USA840_AL_1025","Clarke, Alabama, USA","United States",0.00114904991714745,4,4,5,7,9,11,21,37,90,99,100,2022-12-09
"2022-12-08","USA840_AL_1027","Clay, Alabama, USA","United States",0.00280641157105079,4,4,11,16,20,25,43,68,100,100,100,2022-12-09
"2022-12-08","USA840_AL_1029","Cleburne, Alabama, USA","United States",0.000574877838459327,4,4,2,3,4,6,11,21,68,90,100,2022-12-09
"2022-12-08","USA840_AL_1031","Coffee, Alabama, USA","United States",0.000832437212399766,4,4,3,5,6,8,15,28,81,96,100,2022-12-09
"2022-12-08","USA840_AL_1033","Colbert, Alabama, USA","United States",0.00223695133273164,4,4,9,13,16,20,36,59,99,100,100,2022-12-09
"2022-12-08","USA840_AL_1035","Conecuh, Alabama, USA","United States",0.00112467295694278,4,4,4,7,9,11,20,36,90,99,100,2022-12-09
"2022-12-08","USA840_AL_1037","Coosa, Alabama, USA","United States",0.00422020069398856,4,4,16,23,29,35,57,82,100,100,100,2022-12-09
"2022-12-08","USA840_AL_1039","Covington, Alabama, USA","United States",0.00239065638941479,4,4,9,13,17,21,38,62,99,100,100,2022-12-09
"2022-12-08","USA840_AL_1041","Crenshaw, Alabama, USA","United States",0.00082984108543214,4,4,3,5,6,8,15,28,81,96,100,2022-12-09
"2022-12-08","USA840_AL_1043","Cullman, Alabama, USA","United States",0.00124493499051803,4,4,5,7,10,12,22,39,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1045","Dale, Alabama, USA","United States",0.00113304900582213,4,4,4,7,9,11,20,37,90,99,100,2022-12-09
"2022-12-08","USA840_AL_1047","Dallas, Alabama, USA","United States",0.00128662068117924,4,4,5,7,10,12,23,40,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1049","DeKalb, Alabama, USA","United States",0.00114864230479573,4,4,5,7,9,11,21,37,90,99,100,2022-12-09
"2022-12-08","USA840_AL_1051","Elmore, Alabama, USA","United States",0.00181190332528238,4,4,7,10,14,17,30,52,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1053","Escambia, Alabama, USA","United States",0.00206683279322703,4,4,8,12,15,19,34,56,98,100,100,2022-12-09
"2022-12-08","USA840_AL_1055","Etowah, Alabama, USA","United States",0.000963854075286781,4,4,4,6,7,9,18,32,86,98,100,2022-12-09
"2022-12-08","USA840_AL_1057","Fayette, Alabama, USA","United States",0.000613421666053245,4,4,2,4,5,6,12,22,71,91,100,2022-12-09
"2022-12-08","USA840_AL_1059","Franklin, Alabama, USA","United States",0.00141208195541465,4,4,6,8,11,13,25,43,94,100,100,2022-12-09
"2022-12-08","USA840_AL_1061","Geneva, Alabama, USA","United States",0.000543782660946073,4,4,2,3,4,5,10,20,66,89,100,2022-12-09
"2022-12-08","USA840_AL_1063","Greene, Alabama, USA","United States",0.00167321274459728,4,4,6,10,13,15,29,49,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1065","Hale, Alabama, USA","United States",0.0016576147898242,4,4,6,9,12,15,28,49,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1067","Henry, Alabama, USA","United States",0.00107942043425914,4,4,4,6,8,10,19,35,89,99,100,2022-12-09
"2022-12-08","USA840_AL_1069","Houston, Alabama, USA","United States",0.000957939701068845,4,4,4,6,7,9,17,32,85,98,100,2022-12-09
"2022-12-08","USA840_AL_1071","Jackson, Alabama, USA","United States",0.00174330763568744,4,4,7,10,13,16,30,50,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1073","Jefferson, Alabama, USA","United States",0.00166810881796161,4,4,6,10,13,15,28,49,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1075","Lamar, Alabama, USA","United States",0.00119004501474621,4,4,5,7,9,11,21,38,91,99,100,2022-12-09
"2022-12-08","USA840_AL_1077","Lauderdale, Alabama, USA","United States",0.0017023492419539,4,4,7,10,13,16,29,50,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1079","Lawrence, Alabama, USA","United States",0.000781019490775292,4,4,3,5,6,8,14,27,79,96,100,2022-12-09
"2022-12-08","USA840_AL_1081","Lee, Alabama, USA","United States",0.0011981309157714,4,4,5,7,9,11,21,38,91,99,100,2022-12-09
"2022-12-08","USA840_AL_1083","Limestone, Alabama, USA","United States",0.00163921404380384,4,4,6,9,12,15,28,48,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1085","Lowndes, Alabama, USA","United States",0.00124849446255985,4,4,5,7,10,12,22,39,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1087","Macon, Alabama, USA","United States",0.00181852683513078,4,4,7,10,14,17,31,52,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1089","Madison, Alabama, USA","United States",0.00158023998961064,4,4,6,9,12,15,27,47,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1091","Marengo, Alabama, USA","United States",0.00087094160147227,4,4,3,5,7,8,16,29,83,97,100,2022-12-09
"2022-12-08","USA840_AL_1093","Marion, Alabama, USA","United States",0.00134639334881686,4,4,5,8,10,13,24,42,93,100,100,2022-12-09
"2022-12-08","USA840_AL_1095","Marshall, Alabama, USA","United States",0.000870954122860627,4,4,3,5,7,8,16,29,83,97,100,2022-12-09
"2022-12-08","USA840_AL_1097","Mobile, Alabama, USA","United States",0.00100606056415451,4,4,4,6,8,10,18,33,87,98,100,2022-12-09
"2022-12-08","USA840_AL_1099","Monroe, Alabama, USA","United States",0.00223935616787592,4,4,9,13,16,20,36,59,99,100,100,2022-12-09
"2022-12-08","USA840_AL_1101","Montgomery, Alabama, USA","United States",0.00214772026274724,4,4,8,12,16,19,35,58,99,100,100,2022-12-09
"2022-12-08","USA840_AL_1103","Morgan, Alabama, USA","United States",0.00166516861175072,4,4,6,10,13,15,28,49,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1105","Perry, Alabama, USA","United States",0.00128079921871248,4,4,5,7,10,12,23,40,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1107","Pickens, Alabama, USA","United States",0.000788473944520106,4,4,3,5,6,8,15,27,79,96,100,2022-12-09
"2022-12-08","USA840_AL_1109","Pike, Alabama, USA","United States",0.000625544655260183,4,4,2,4,5,6,12,22,71,92,100,2022-12-09
"2022-12-08","USA840_AL_1111","Randolph, Alabama, USA","United States",0.00125743458196587,4,4,5,7,10,12,22,40,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1113","Russell, Alabama, USA","United States",0.00101053171221043,4,4,4,6,8,10,18,33,87,98,100,2022-12-09
"2022-12-08","USA840_AL_1117","Shelby, Alabama, USA","United States",0.00136818744364839,4,4,5,8,10,13,24,42,94,100,100,2022-12-09
"2022-12-08","USA840_AL_1115","St. Clair, Alabama, USA","United States",0.00182736871672433,4,4,7,10,14,17,31,52,97,100,100,2022-12-09
"2022-12-08","USA840_AL_1119","Sumter, Alabama, USA","United States",0.000747220912988999,4,4,3,4,6,7,14,26,78,95,100,2022-12-09
"2022-12-08","USA840_AL_1121","Talladega, Alabama, USA","United States",0.00147361953108533,4,4,6,8,11,14,26,45,95,100,100,2022-12-09
"2022-12-08","USA840_AL_1123","Tallapoosa, Alabama, USA","United States",0.00141558345041388,4,4,6,8,11,13,25,43,94,100,100,2022-12-09
"2022-12-08","USA840_AL_1125","Tuscaloosa, Alabama, USA","United States",0.00155238709369253,4,4,6,9,12,14,27,46,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1127","Walker, Alabama, USA","United States",0.00128191576688924,4,4,5,7,10,12,23,40,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1129","Washington, Alabama, USA","United States",0.00126879123571516,4,4,5,7,10,12,22,40,92,99,100,2022-12-09
"2022-12-08","USA840_AL_1131","Wilcox, Alabama, USA","United States",0.00165264216165595,4,4,6,9,12,15,28,48,96,100,100,2022-12-09
"2022-12-08","USA840_AL_1133","Winston, Alabama, USA","United States",0.00120916791110198,4,4,5,7,9,11,22,38,91,99,100,2022-12-09
"2022-12-08","USA840_AK_2013","Aleutians East, Alaska, USA","United States",0.000856201036003254,4,4,3,5,7,8,16,29,82,97,100,2022-12-09
"2022-12-08","USA840_AK_2016","Aleutians West, Alaska, USA","United States",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-09
"2022-12-08","USA840_AK_2020","Anchorage, Alaska, USA","United States",0.000828373015873016,4,4,3,5,6,8,15,28,81,96,100,2022-12-09
"2022-12-08","USA840_AK_2050","Bethel, Alaska, USA","United States",0.00248636384826965,4,4,10,14,18,22,39,63,99,100,100,2022-12-09
"2022-12-08","USA840_AK_2997","Bristol Bay plus Lake Peninsula, Alaska, USA","United States",0.000294186867498235,4,4,1,2,2,3,6,11,44,69,100,2022-12-09
"2022-12-08","USA840_AK_2068","Denali, Alaska, USA","United States",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-09
"2022-12-08","USA840_AK_2070","Dillingham, Alaska, USA","United States",0.000435894455422527,4,4,2,3,3,4,8,16,58,83,100,2022-12-09
"2022-12-08","USA840_AK_2090","Fairbanks North Star, Alaska, USA","United States",0.000516267591818191,4,4,2,3,4,5,10,19,64,87,100,2022-12-09
"2022-12-08","USA840_AK_2100","Haines, Alaska, USA","United States",NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-12-09
"2022-12-08","USA840_AK_2110","Juneau, Alaska, USA","United States",0.000982941497109258,4,4,4,6,8,9,18,33,86,98,100,2022-12-09
"2022-12-08","USA840_AK_2122","Kenai Peninsula, Alaska, USA","United States",0.000803005674573434,4,4,3,5,6,8,15,28,80,96,100,2022-12-09
"2022-12-08","USA840_AK_2130","Ketchikan Gateway, Alaska, USA","United States",0.000770756471785175,4,4,3,5,6,7,14,27,79,95,100,2022-12-09
"2022-12-08","USA840_AK_2150","Kodiak Island, Alaska, USA","United States",0.000329721055986635,4,4,1,2,3,3,6,12,48,73,100,2022-12-09
"2022-12-08","USA840_AK_2158","Kusilvak, Alaska, USA","United States",0.00231966734252036,4,4,9,13,17,21,37,61,99,100,100,2022-12-09
"2022-12-08","USA840_AK_2170","Matanuska-Susitna, Alaska, USA","United States",0.000659440082614654,4,4,3,4,5,6,12,23,73,93,100,2022-12-09
"2022-12-08","USA840_AK_2180","Nome, Alaska, USA","United States",0.00199920031987205,4,4,8,11,15,18,33,55,98,100,100,2022-12-09
"2022-12-08","USA840_AK_2185","North Slope, Alaska, USA","United States",0.000581192607230036,4,4,2,3,5,6,11,21,69,90,100,2022-12-09
"2022-12-08","USA840_AK_2188","Northwest Arctic, Alaska, USA","United States",0.00656081879018502,4,4,23,33,41,49,74,93,100,100,100,2022-12-09
"2022-12-08","USA840_AK_2195","Petersburg, Alaska, USA","United States",0.000874814102003324,4,4,3,5,7,8,16,30,83,97,100,2022-12-09
"2022-12-08","USA840_AK_2198","Prince of Wales-Hyder, Alaska, USA","United States",0.000690909928375671,4,4,3,4,5,7,13,24,75,94,100,2022-12-09
