DateReport,geoid,RegionName,Country,pInf,AB
2022-01-29,NOR578_00_SJM,"Svalbard and Jan Mayen Islands, Norway",Norway,NA,3
2022-01-29,VAT336_00_VA,"Holy See, Holy See",Holy See,NA,3
2022-01-28,MEX484_05_05005,"Candela, Coahuila de Zaragoza, Mexico",Mexico,NA,3
2022-01-28,MEX484_05_05013,"Hidalgo, Coahuila de Zaragoza, Mexico",Mexico,NA,3
2022-01-28,MEX484_05_05034,"Sierra Mojada, Coahuila de Zaragoza, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07005,"Amatán, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07006,"Amatenango de la Frontera, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07007,"Amatenango del Valle, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07010,"Bejucal de Ocampo, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07018,"Coapilla, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07020,"La Concordia, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07022,"Chalchihuitán, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07023,"Chamula, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07024,"Chanal, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07026,"Chenalhó, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07028,"Chiapilla, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07030,"Chicomuselo, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07036,"La Grandeza, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07041,"La Independencia, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07044,"Ixtapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07049,"Larráinzar, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07053,"Mazapa de Madero, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07055,"Metapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07056,"Mitontic, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07057,"Motozintla, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07058,"Nicolás Ruíz, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07060,"Ocotepec, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07062,"Ostuacán, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07063,"Osumacinta, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07066,"Pantelhó, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07069,"Pijijiapan, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07070,"El Porvenir, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07072,"Pueblo Nuevo Solistahuacán, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07079,"San Fernando, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07080,"Siltepec, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07081,"Simojovel, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07082,"Sitalá, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07083,"Socoltenango, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07088,"Sunuapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07091,"Tapilula, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07093,"Tenejapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07098,"Totolapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07100,"Tumbalá, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07105,"Unión Juárez, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07109,"Yajalón, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07110,"San Lucas, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07111,"Zinacantán, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07112,"San Juan Cancuc, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07113,"Aldama, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07115,"Maravilla Tenejapa, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07116,"Marqués de Comillas, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07117,"Montecristo de Guerrero, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07118,"San Andrés Duraznal, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_07_07119,"Santiago el Pinar, Chiapas, Mexico",Mexico,NA,3
2022-01-28,MEX484_08_08012,"Carichí, Chihuahua, Mexico",Mexico,NA,3
2022-01-28,MEX484_08_08016,"La Cruz, Chihuahua, Mexico",Mexico,NA,3
