"DateReport","geoid","RegionName","Country","pInf","AB"
"2022-03-01","SJM578_00_SJM","Norway, Norway","Norway",NA,3
"2022-03-02","VATVAT_00_VA","Holy See, Holy See","Holy See",NA,3
"2022-03-01","MEX484_01_01010","El Llano, Aguascalientes, Mexico","Mexico",NA,3
"2022-03-01","MEX484_04_04008","Tenabo, Campeche, Mexico","Mexico",NA,3
"2022-03-01","MEX484_04_04011","Candelaria, Campeche, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05001","Abasolo, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05005","Candela, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05008","Escobedo, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05012","Guerrero, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05013","Hidalgo, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05014","Jiménez, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05016","Lamadrid, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05019","Morelos, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05021","Nadadores, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05026","Progreso, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_05_05034","Sierra Mojada, Coahuila de Zaragoza, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07001","Acacoyagua, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07002","Acala, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07004","Altamirano, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07005","Amatán, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07007","Amatenango del Valle, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07010","Bejucal de Ocampo, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07011","Bella Vista, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07013","Bochil, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07014","El Bosque, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07017","Cintalapa, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07022","Chalchihuitán, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07023","Chamula, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07024","Chanal, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07025","Chapultenango, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07026","Chenalhó, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07029","Chicoasén, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07031","Chilón, Chiapas, Mexico","Mexico",NA,3
"2022-03-01","MEX484_07_07033","Francisco León, Chiapas, Mexico","Mexico",NA,3
